# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       3.186342263839e-03      -5.989863542468e-01      -5.737647667918e-02      -9.587696126121e-01      -1.351890812040e-01      -1.969623115167e-02      -4.603967915573e+00       1.458804900096e-01      -4.789787756489e+00       5.651308652549e+03 
       3.304161630640e-03      -6.622268450974e-01      -6.352041050916e-02      -1.016734902514e+00      -1.432150575836e-01      -2.268430176040e-02      -4.946220007354e+00       1.663344547097e-01      -5.297712328953e+00       5.818227494506e+03 
       3.422715563174e-03      -7.297820386789e-01      -7.009654241983e-02      -1.077144337549e+00      -1.512953477978e-01      -2.601342167116e-02      -5.302513058790e+00       1.888601081391e-01      -5.840574909698e+00       5.983495227561e+03 
       3.541942733498e-03      -8.017512103006e-01      -7.711644184518e-02      -1.139999729778e+00      -1.594063201019e-01      -2.970566617509e-02      -5.672812686819e+00       2.135764036425e-01      -6.419208197898e+00       6.147009806058e+03 
       3.661787819128e-03      -8.782275977065e-01      -8.459118072877e-02      -1.205301894432e+00      -1.674895524493e-01      -3.379739707277e-02      -6.057077058035e+00       2.406025775037e-01      -7.034397363159e+00       6.308682823015e+03 
       3.782200887106e-03      -9.592980142038e-01      -9.253129973269e-02      -1.273050744976e+00      -1.755192316864e-01      -3.831222190421e-02      -6.455257543372e+00       2.700578449426e-01      -7.686876912174e+00       6.468438855717e+03 
       3.903136834842e-03      -1.045044137900e+00      -1.009469145955e-01      -1.343245466752e+00      -1.834770476117e-01      -4.327100214901e-02      -6.867299899389e+00       3.020612782863e-01      -8.377340861416e+00       6.626213983062e+03 
       4.024554885575e-03      -1.135541186683e+00      -1.098476029280e-01      -1.415884551131e+00      -1.913155117865e-01      -4.870665702562e-02      -7.293144377575e+00       3.367314631158e-01      -9.106432189571e+00       6.781954391329e+03 
       4.146418135170e-03      -1.230859480205e+00      -1.192425327565e-01      -1.490965967443e+00      -1.989901331540e-01      -5.465114500091e-02      -7.732726832198e+00       3.741865068056e-01      -9.874755226411e+00       6.935614762711e+03 
       4.268693146425e-03      -1.331063007627e+00      -1.291403390502e-01      -1.568487164114e+00      -2.064757767903e-01      -6.112896304587e-02      -8.185978676461e+00       4.145436143996e-01      -1.068286430206e+01       7.087156721861e+03 
       4.391349586775e-03      -1.436211299483e+00      -1.395492833617e-01      -1.648445166014e+00      -2.137407422345e-01      -6.816747033191e-02      -8.652827794520e+00       4.579192212566e-01      -1.153127847735e+01       7.236549805720e+03 
       4.514359905341e-03      -1.546358445554e+00      -1.504771703489e-01      -1.730836629114e+00      -2.207386397589e-01      -7.580020508699e-02      -9.133198400291e+00       5.044285028885e-01      -1.242047370207e+01       7.383771375712e+03 
       4.637699045358e-03      -1.661554019602e+00      -1.619314199340e-01      -1.815657883745e+00      -2.274275629973e-01      -8.405909936273e-02      -9.627011842438e+00       5.541856140637e-01      -1.335089028971e+01       7.528803330095e+03 
       4.761344188283e-03      -1.781841380351e+00      -1.739189187822e-01      -1.902904944282e+00      -2.337759333402e-01      -9.297219373430e-02      -1.013418636242e+01       6.073030694156e-01      -1.432291949934e+01       7.671630380435e+03 
       4.885274526161e-03      -1.907260463777e+00      -1.864462627422e-01      -1.992573598523e+00      -2.397494402417e-01      -1.025687779008e-01      -1.065463794444e+01       6.638923195674e-01      -1.533692551125e+01       7.812242185964e+03 
       5.009471059116e-03      -2.037845628951e+00      -1.995195711060e-01      -2.084659383773e+00      -2.453047525540e-01      -1.128820089766e-01      -1.118827972795e+01       7.240626233619e-01      -1.639322827059e+01       7.950633963008e+03 
       5.133916415147e-03      -2.173628459442e+00      -2.131447251418e-01      -2.179157674521e+00      -2.503983756409e-01      -1.239452179220e-01      -1.173502319063e+01       7.879223578060e-01      -1.749212583737e+01       8.086804403888e+03 
       5.258594689683e-03      -2.314633764422e+00      -2.273270132387e-01      -2.276063617539e+00      -2.549931699717e-01      -1.357893895080e-01      -1.229477722613e+01       8.555771325699e-01      -1.863386294035e+01       8.220753369864e+03 
       5.383491302649e-03      -2.460883643249e+00      -2.420714897792e-01      -2.375372249725e+00      -2.590536439413e-01      -1.484449431905e-01      -1.286744931683e+01       9.271316014797e-01      -1.981866294603e+01       8.352483309360e+03 
       5.508592871017e-03      -2.612397239064e+00      -2.573829603986e-01      -2.477078425802e+00      -2.625402733309e-01      -1.619440587036e-01      -1.345294491444e+01       1.002687865649e+00      -2.104672525126e+01       8.482003654547e+03 
       5.633887095065e-03      -2.769191209214e+00      -2.732660218328e-01      -2.581176911115e+00      -2.654102074437e-01      -1.763203715549e-01      -1.405116784191e+01       1.082345943714e+00      -2.231822911431e+01       8.609329797729e+03 
       5.759362656773e-03      -2.931276331525e+00      -2.897247360848e-01      -2.687662342918e+00      -2.676215846214e-01      -1.916071795096e-01      -1.466202076028e+01       1.166204591620e+00      -2.363330852066e+01       8.734470541798e+03 
       5.885009128951e-03      -3.098646966130e+00      -3.067616593290e-01      -2.796529258837e+00      -2.691360657416e-01      -2.078364665278e-01      -1.528540435568e+01       1.254358952571e+00      -2.499197131414e+01       8.857409584514e+03 
       6.010816893888e-03      -3.271294044625e+00      -3.243790378957e-01      -2.907772132170e+00      -2.699158693538e-01      -2.250400368984e-01      -1.592121851954e+01       1.346903353977e+00      -2.639419889258e+01       8.978128056652e+03 
       6.136777070431e-03      -3.449212932835e+00      -3.425795434901e-01      -3.021385328047e+00      -2.699214496162e-01      -2.432504486420e-01      -1.656936176615e+01       1.443929266529e+00      -2.784000547407e+01       9.096633480904e+03 
       6.262881448544e-03      -3.632403888567e+00      -3.613663159970e-01      -3.137363167765e+00      -2.691113631215e-01      -2.625010666574e-01      -1.722973118656e+01       1.545525144234e+00      -2.932944152949e+01       9.212961629721e+03 
       6.389122430502e-03      -3.820867469850e+00      -3.807425288466e-01      -3.255699885517e+00      -2.674441981881e-01      -2.828252655529e-01      -1.790222338338e+01       1.651778798932e+00      -3.086255940298e+01       9.327151951959e+03 
       6.515492978000e-03      -4.014608380199e+00      -4.007117480453e-01      -3.376389672799e+00      -2.648803723212e-01      -3.042556641254e-01      -1.858673352574e+01       1.762774080751e+00      -3.243944013595e+01       9.439253927728e+03 
       6.641986564499e-03      -4.213633620279e+00      -4.212777590689e-01      -3.499426665318e+00      -2.613813463800e-01      -3.268244591299e-01      -1.928315584969e+01       1.878592460171e+00      -3.406018056798e+01       9.549323338497e+03 
       6.768597132253e-03      -4.417945195926e+00      -4.424438856069e-01      -3.624804990240e+00      -2.569084354099e-01      -3.505639129905e-01      -1.999138422180e+01       1.999314746152e+00      -3.572483971380e+01       9.657409098100e+03 
       6.895319053508e-03      -4.627508565410e+00      -4.642100445084e-01      -3.752518718370e+00      -2.514220009513e-01      -3.755065778756e-01      -2.071131120440e+01       2.125017133530e+00      -3.743320059276e+01       9.763499079690e+03 
       7.022147095415e-03      -4.842272073063e+00      -4.865745593810e-01      -3.882561899453e+00      -2.448819419952e-01      -4.016851592951e-01      -2.144282868920e+01       2.255773687412e+00      -3.918491695063e+01       9.867553254015e+03 
       7.149076388277e-03      -5.062185103465e+00      -5.095358529204e-01      -4.014928573551e+00      -2.372482549333e-01      -4.291323240409e-01      -2.218582829406e+01       2.391657887671e+00      -4.097965024552e+01       9.969536361434e+03 
       7.276102396759e-03      -5.287212470520e+00      -5.330937729307e-01      -4.149612767067e+00      -2.284823054630e-01      -4.578800193586e-01      -2.294020065027e+01       2.532738577285e+00      -4.281717760757e+01       1.006945776704e+04 
       7.403220893776e-03      -5.517327764137e+00      -5.572489791429e-01      -4.286608444918e+00      -2.185462347574e-01      -4.879597907953e-01      -2.370583575833e+01       2.679081896224e+00      -4.469734193784e+01       1.016735278218e+04 
       7.530427936763e-03      -5.752504329070e+00      -5.820021110341e-01      -4.425909579423e+00      -2.074021628606e-01      -5.194032014404e-01      -2.448262344568e+01       2.830753722582e+00      -4.661998420097e+01       1.026325754781e+04 
       7.657719846094e-03      -5.992712290197e+00      -6.073534916514e-01      -4.567510167380e+00      -1.950121321178e-01      -5.522416647293e-01      -2.527045294201e+01       2.987816157191e+00      -4.858491996696e+01       1.035720466262e+04 
       7.785093185431e-03      -6.237918213928e+00      -6.333030936533e-01      -4.711404170860e+00      -1.813381012713e-01      -5.865064230645e-01      -2.606921280523e+01       3.150327118853e+00      -5.059193673649e+01       1.044922263708e+04 
       7.912544743812e-03      -6.488088280865e+00      -6.598508556982e-01      -4.857585542826e+00      -1.663419967171e-01      -6.222287358602e-01      -2.687879143898e+01       3.318344180804e+00      -5.264081900670e+01       1.053934024153e+04 
       8.040071519298e-03      -6.743184654159e+00      -6.869963347093e-01      -5.006048256735e+00      -1.499860893464e-01      -6.594396335523e-01      -2.769907704195e+01       3.491923383747e+00      -5.473132126253e+01       1.062758295683e+04 
       8.167670704038e-03      -7.003155030019e+00      -7.147377035123e-01      -5.156786319062e+00      -1.322340182941e-01      -6.981692155814e-01      -2.852995722703e+01       3.671114894409e+00      -5.686309002557e+01       1.071396266247e+04 
       8.295339670612e-03      -7.267943552404e+00      -7.430727977343e-01      -5.309793704405e+00      -1.130497241191e-01      -7.384473821491e-01      -2.937131938794e+01       3.855967511505e+00      -5.903574529112e+01       1.079848831011e+04 
       8.423075959523e-03      -7.537494198653e+00      -7.719994395797e-01      -5.465064407283e+00      -9.239713342537e-02      -7.803040459894e-01      -3.022305086656e+01       4.046529882320e+00      -6.124890578711e+01       1.088116931055e+04 
       8.550877267735e-03      -7.811752688939e+00      -8.015155838244e-01      -5.622592445559e+00      -7.024055829864e-02      -8.237686769854e-01      -3.108503878564e+01       4.242846907614e+00      -6.350220296282e+01       1.096202143362e+04 
       8.678741438163e-03      -8.090667124792e+00      -8.316193668203e-01      -5.782371868975e+00      -4.654482729268e-02      -8.688701526619e-01      -3.195716999691e+01       4.444958600764e+00      -6.579528567186e+01       1.104106873843e+04 
       8.806666450016e-03      -8.374185625415e+00      -8.623089264217e-01      -5.944396706210e+00      -2.127478190220e-02      -9.156373316527e-01      -3.283933129861e+01       4.652904543620e+00      -6.812780287429e+01       1.111833611858e+04 
       8.934650409929e-03      -8.662255833028e+00      -8.935823560267e-01      -6.108661039456e+00       5.604696882368e-03      -9.640990440742e-01      -3.373140943317e+01       4.866724064697e+00      -7.049940000354e+01       1.119384848983e+04 
       9.062691543801e-03      -8.954819423085e+00      -9.254371456867e-01      -6.275158961721e+00       3.412762264643e-02      -1.014283222618e+00      -3.463329114473e+01       5.086451642129e+00      -7.290967847409e+01       1.126762666628e+04 
       9.190788189276e-03      -9.251812955165e+00      -9.578702687045e-01      -6.443884600174e+00       6.432706773872e-02      -1.066217036482e+00      -3.554486311141e+01       5.312117702384e+00      -7.535820196417e+01       1.133968797189e+04 
       9.318938788829e-03      -9.553172686588e+00      -9.908786716506e-01      -6.614832111581e+00       9.623609630791e-02      -1.119927652106e+00      -3.646601203239e+01       5.543752464711e+00      -7.784453193188e+01       1.141004981182e+04 
       9.447141883372e-03      -9.858834692349e+00      -1.024459284371e+00      -6.787995645314e+00       1.298877558637e-01      -1.175442219703e+00      -3.739662457494e+01       5.781385922916e+00      -8.036822851712e+01       1.147872982782e+04 
       9.575396106365e-03      -1.016873385146e+01      -1.058608870667e+00      -6.963369434996e+00       1.653142272375e-01      -1.232787040651e+00      -3.833658760220e+01       6.025043507918e+00      -8.292884331557e+01       1.154574692200e+04 
       9.703700178372e-03      -1.048280388017e+01      -1.093324032823e+00      -7.140947726207e+00       2.025468467384e-01      -1.291987589063e+00      -3.928578819249e+01       6.274746199894e+00      -8.552591962267e+01       1.161112122055e+04 
       9.832052902031e-03      -1.080097833779e+01      -1.128601359060e+00      -7.320724807222e+00       2.416169385817e-01      -1.353069326881e+00      -4.024411340535e+01       6.530514751310e+00      -8.815899961715e+01       1.167487305271e+04 
       9.960453157397e-03      -1.112319065274e+01      -1.164437428120e+00      -7.502694968028e+00       2.825558472257e-01      -1.416057735879e+00      -4.121145034073e+01       6.792369902670e+00      -9.082762455339e+01       1.173702288301e+04 
