# Hexadecapole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib2 (Mpc/h)^3          7:IbG2 (Mpc/h)^3         8:Ib1b2 (Mpc/h)^3        9:Ib1bG2 (Mpc/h)^3      10:Ib2b2 (Mpc/h)^3       11:Ib2bG2 (Mpc/h)^3      12:IbG2bG2 (Mpc/h)^3     13:Ptree_vv (Mpc/h)^3 
       4.146418135170e-03      -1.600432306339e+00      -8.820611862786e-01       7.748795162777e-03      -1.715889956577e-02       1.098682886976e-02      -1.976613952369e-02       1.636548536962e-05       1.551797787076e-04      -1.992527873993e-08      -3.347446828308e-07       5.448140501175e-07       9.980290957408e+02 
       4.268693146425e-03      -1.731527955446e+00      -9.543358293396e-01       8.674974493627e-03      -1.858318551634e-02       1.224689381928e-02      -2.207023044193e-02       1.808133651597e-05       1.715646200623e-04      -1.992527873993e-08      -3.671944224930e-07       5.988969495544e-07       1.019835855426e+03 
       4.391349586775e-03      -1.869186214854e+00      -1.030226603643e+00       9.682863407534e-03      -2.008102379517e-02       1.361036299535e-02      -2.456909892997e-02       1.991617004108e-05       1.891227756879e-04      -3.074185862732e-08      -4.104607420425e-07       6.535491426697e-07       1.041333393784e+03 
       4.514359905341e-03      -2.013487772262e+00      -1.109777041367e+00       1.077696843326e-02      -2.165353748592e-02       1.508366543148e-02      -2.727376765200e-02       2.185973865874e-05       2.078753094506e-04      -3.074185862732e-08      -4.542963552704e-07       7.076320421066e-07       1.062518453139e+03 
       4.637699045358e-03      -2.164507680504e+00      -1.193027436551e+00       1.196187124631e-02      -2.330179430912e-02       1.667258799790e-02      -3.019474633862e-02       2.393367552872e-05       2.278654876698e-04      -3.074185862732e-08      -4.975626748199e-07       7.731008151093e-07       1.083388428653e+03 
       4.761344188283e-03      -2.322313194796e+00      -1.280013611998e+00       1.324228445978e-02      -2.502678525007e-02       1.838132240398e-02      -3.334140670236e-02       2.612716407115e-05       2.491263293790e-04      -3.074185862732e-08      -5.516455742569e-07       8.271837145462e-07       1.103941120341e+03 
       4.885274526161e-03      -2.486967260801e+00      -1.370768923195e+00       1.462292125601e-02      -2.682945944582e-02       2.021447309697e-02      -3.672344438386e-02       2.845102086591e-05       2.716902843178e-04      -4.155843851471e-08      -6.062977673721e-07       8.920831938705e-07       1.124175040182e+03 
       5.009471059116e-03      -2.658525841796e+00      -1.465322688766e+00       1.610864568020e-02      -2.871069745730e-02       2.217797837925e-02      -4.035170784344e-02       3.090524591299e-05       2.955898022258e-04      -4.155843851471e-08      -6.603806668091e-07       9.683685467606e-07       1.144089499791e+03 
       5.133916415147e-03      -2.837041436336e+00      -1.563702183571e+00       1.770432234682e-02      -3.067134559404e-02       2.427777883033e-02      -4.423706603602e-02       3.347845333883e-05       3.208465162629e-04      -4.155843851471e-08      -7.144635662460e-07       1.033268026085e-06       1.163684311018e+03 
       5.258594689683e-03      -3.022557976814e+00      -1.665929775728e+00       1.941492460545e-02      -3.271216485074e-02       2.651884723051e-02      -4.838968256162e-02       3.619284559689e-05       3.474928761686e-04      -5.237501840210e-08      -7.799323392487e-07       1.109553378975e-06       1.182959453878e+03 
       5.383491302649e-03      -3.215116051023e+00      -1.772025847090e+00       2.124546850269e-02      -3.483388254879e-02       2.890592864259e-02      -5.281951436670e-02       3.902735882106e-05       3.755619009764e-04      -5.237501840210e-08      -8.556483984604e-07       1.185269438187e-06       1.201915280704e+03 
