# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.535976091046e-01       1.468880376231e+03 
       2.567518600932e-01       1.439781096082e+03 
       2.599061122812e-01       1.409040531200e+03 
       2.630603656252e-01       1.376635039409e+03 
       2.662146200837e-01       1.343026956804e+03 
       2.693688756174e-01       1.308764912383e+03 
       2.725231321888e-01       1.274462504621e+03 
       2.756773897621e-01       1.240772477798e+03 
       2.788316483030e-01       1.208368219294e+03 
       2.819859077788e-01       1.177712749315e+03 
       2.851401681585e-01       1.149158118025e+03 
       2.882944294122e-01       1.122836540797e+03 
       2.914486915113e-01       1.098733485289e+03 
       2.946029544285e-01       1.076772007913e+03 
       2.977572181378e-01       1.056636262893e+03 
       3.009114826140e-01       1.038112673864e+03 
       3.040657478332e-01       1.020721898413e+03 
       3.072200137724e-01       1.004177137196e+03 
       3.103742804095e-01       9.880644177229e+02 
       3.135285477233e-01       9.720367461625e+02 
       3.166828156936e-01       9.558507510237e+02 
       3.198370843007e-01       9.392978851012e+02 
       3.229913535261e-01       9.223400967474e+02 
       3.261456233515e-01       9.050045463071e+02 
       3.292998937598e-01       8.874054514753e+02 
       3.324541647342e-01       8.696625125849e+02 
       3.356084362587e-01       8.519936783525e+02 
       3.387627083179e-01       8.345310380952e+02 
       3.419169808968e-01       8.174964878631e+02 
       3.450712539813e-01       8.010117983954e+02 
       3.482255275574e-01       7.852504304927e+02 
       3.513798016120e-01       7.702987001928e+02 
       3.545340761320e-01       7.562043498800e+02 
       3.576883511053e-01       7.429571010280e+02 
       3.608426265198e-01       7.304704729504e+02 
       3.639969023641e-01       7.186219281343e+02 
       3.671511786269e-01       7.073168349496e+02 
       3.703054552977e-01       6.964161777591e+02 
       3.734597323659e-01       6.858052047431e+02 
       3.766140098216e-01       6.753903924482e+02 
       3.797682876550e-01       6.650805378982e+02 
       3.829225658568e-01       6.548257148612e+02 
       3.860768444180e-01       6.445439877275e+02 
       3.892311233297e-01       6.342470844201e+02 
       3.923854025834e-01       6.239380728828e+02 
       3.955396821710e-01       6.136513254339e+02 
       3.986939620846e-01       6.034089048804e+02 
       4.018482423163e-01       5.933145479774e+02 
       4.050025228587e-01       5.834041867349e+02 
       4.081568037046e-01       5.737157903408e+02 
       4.113110848470e-01       5.643196588379e+02 
       4.144653662791e-01       5.552089050890e+02 
       4.176196479943e-01       5.463991914478e+02 
       4.207739299863e-01       5.379131874597e+02 
       4.239282122487e-01       5.297412237733e+02 
       4.270824947756e-01       5.218737484508e+02 
       4.302367775612e-01       5.142861030139e+02 
       4.333910605998e-01       5.069624723957e+02 
       4.365453438858e-01       4.998067430861e+02 
       4.396996274140e-01       4.928311230731e+02 
       4.428539111792e-01       4.859762788782e+02 
       4.460081951762e-01       4.792054364437e+02 
       4.491624794003e-01       4.725237747011e+02 
       4.523167638466e-01       4.658974299454e+02 
       4.554710485105e-01       4.593188062126e+02 
       4.586253333875e-01       4.528163857984e+02 
       4.617796184732e-01       4.463632044416e+02 
       4.649339037633e-01       4.399759971680e+02 
       4.680881892538e-01       4.336625361543e+02 
       4.712424749406e-01       4.274680581217e+02 
       4.743967608196e-01       4.213770528536e+02 
       4.775510468872e-01       4.154393235449e+02 
       4.807053331396e-01       4.096569146345e+02 
       4.838596195732e-01       4.040240832498e+02 
       4.870139061844e-01       3.985529070353e+02 
       4.901681929698e-01       3.932295563002e+02 
       4.933224799260e-01       3.880417358907e+02 
       4.964767670498e-01       3.829821845050e+02 
       4.996310543381e-01       3.780421681186e+02 
       5.027853417876e-01       3.732052959420e+02 
       5.059396293954e-01       3.684666592199e+02 
       5.090939171584e-01       3.638050894368e+02 
       5.122482050740e-01       3.592096453285e+02 
       5.154024931391e-01       3.546655601256e+02 
       5.185567813512e-01       3.501765514808e+02 
       5.217110697074e-01       3.457391313755e+02 
       5.248653582053e-01       3.413581851818e+02 
       5.280196468422e-01       3.370391747768e+02 
       5.311739356158e-01       3.327868264926e+02 
       5.343282245234e-01       3.286067985285e+02 
       5.374825135629e-01       3.244922982183e+02 
       5.406368027318e-01       3.204486998444e+02 
       5.437910920280e-01       3.164782842728e+02 
       5.469453814491e-01       3.125836180624e+02 
       5.500996709931e-01       3.087669755895e+02 
       5.532539606578e-01       3.050336144979e+02 
       5.564082504413e-01       3.013791536170e+02 
       5.595625403413e-01       2.977979199877e+02 
       5.627168303561e-01       2.942873381894e+02 
       5.658711204837e-01       2.908363042371e+02 
       5.690254107222e-01       2.874443272893e+02 
       5.721797010697e-01       2.841060608011e+02 
       5.753339915245e-01       2.808224917603e+02 
       5.784882820848e-01       2.775908202885e+02 
       5.816425727488e-01       2.744086351852e+02 
       5.847968635150e-01       2.712718431238e+02 
       5.879511543816e-01       2.681766226722e+02 
       5.911054453471e-01       2.651210677961e+02 
       5.942597364098e-01       2.621053449549e+02 
       5.974140275682e-01       2.591317822190e+02 
       6.005683188208e-01       2.562035418487e+02 
       6.037226101661e-01       2.533223652742e+02 
       6.068769016027e-01       2.504891350000e+02 
       6.100311931292e-01       2.477026270468e+02 
       6.131854847441e-01       2.449613671623e+02 
       6.163397764462e-01       2.422632921129e+02 
       6.194940682340e-01       2.396093911932e+02 
       6.226483601062e-01       2.369998377775e+02 
       6.258026520616e-01       2.344360305172e+02 
       6.289569440990e-01       2.319140917349e+02 
       6.321112362170e-01       2.294353325210e+02 
       6.352655284146e-01       2.269949358466e+02 
       6.384198206904e-01       2.245898758049e+02 
       6.415741130434e-01       2.222178031142e+02 
       6.447284054724e-01       2.198777049371e+02 
       6.478826979764e-01       2.175697871574e+02 
       6.510369905541e-01       2.152956104847e+02 
       6.541912832046e-01       2.130546470648e+02 
       6.573455759267e-01       2.108461844948e+02 
       6.604998687196e-01       2.086679658033e+02 
       6.636541615820e-01       2.065184972537e+02 
       6.668084545132e-01       2.043972142224e+02 
       6.699627475120e-01       2.023046410634e+02 
       6.731170405776e-01       2.002421013078e+02 
       6.762713337089e-01       1.982115960342e+02 
       6.794256269052e-01       1.962112893121e+02 
       6.825799201654e-01       1.942415357662e+02 
       6.857342134887e-01       1.923004500972e+02 
       6.888885068743e-01       1.903864197118e+02 
       6.920428003212e-01       1.884983990640e+02 
       6.951970938287e-01       1.866365174768e+02 
       6.983513873958e-01       1.848011937825e+02 
       7.015056810219e-01       1.829927162416e+02 
       7.046599747061e-01       1.812106718869e+02 
       7.078142684476e-01       1.794537616536e+02 
       7.109685622457e-01       1.777203720185e+02 
