# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=1
# for k=1.02819e-05 to 109.889 h/Mpc,
# number of wavenumbers equal to 588
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       4.562020733544e-03       5.585079852120e+03      -1.182151429936e-01      -1.159427339717e+00      -1.390479142541e-01      -4.637638702439e-02      -5.696248631818e+00       3.089522197340e-01      -7.689717692535e+00 
       4.682700334552e-03       5.695821841510e+03      -1.270133372926e-01      -1.211345125821e+00      -1.432151399730e-01      -5.130197472215e-02      -5.994260344259e+00       3.385780385585e-01      -8.253268709112e+00 
       4.803664837402e-03       5.805035277477e+03      -1.362141265043e-01      -1.264693616883e+00      -1.471900700686e-01      -5.660826840931e-02      -6.300070616052e+00       3.701515131591e-01      -8.841634298147e+00 
       4.924895451436e-03       5.912708118986e+03      -1.458226128074e-01      -1.319470098495e+00      -1.509505384961e-01      -6.231314244523e-02      -6.613632290147e+00       4.037359747489e-01      -9.455044644390e+00 
       5.046374976562e-03       6.018831929165e+03      -1.558436339841e-01      -1.375671729588e+00      -1.544745163297e-01      -6.843452198480e-02      -6.934896882541e+00       4.393938041055e-01      -1.009371043672e+01 
       5.168087648701e-03       6.123401970164e+03      -1.662816839685e-01      -1.433295540827e+00      -1.577402086283e-01      -7.499037413171e-02      -7.263814400070e+00       4.771860447206e-01      -1.075781705548e+01 
       5.290019001810e-03       6.226415552238e+03      -1.771411615099e-01      -1.492338486429e+00      -1.607257565523e-01      -8.199872792257e-02      -7.600334212494e+00       5.171735537746e-01      -1.144754293430e+01 
       5.412155744608e-03       6.327867764765e+03      -1.884259202284e-01      -1.552797420513e+00      -1.634088583371e-01      -8.947791346004e-02      -7.944404399773e+00       5.594156556431e-01      -1.216302884161e+01 
       5.534485650354e-03       6.427751887454e+03      -2.001393469932e-01      -1.614669106897e+00      -1.657668312030e-01      -9.744651991582e-02      -8.295971910403e+00       6.039703690269e-01      -1.290438328046e+01 
       5.656997458202e-03       6.526063421092e+03      -2.122847872485e-01      -1.677950261976e+00      -1.677769402973e-01      -1.059231821156e-01      -8.654983270406e+00       6.508955462044e-01      -1.367171149823e+01 
