# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   93       3.342902742859e-10       9.001660325238e-14      -2.494881654564e-12       3.528080726492e-16       1.227298692423e-11       1.628202673503e-12      -7.695431825003e-15 
   94       3.382975037096e-10       9.209784805162e-14      -2.581699758090e-12       3.604958714848e-16       1.193923183175e-11       1.592212869746e-12      -7.642047583206e-15 
   95       3.423338747582e-10       9.417165887749e-14      -2.669022879243e-12       3.682713493636e-16       1.161665975879e-11       1.557322902620e-12      -7.580392747528e-15 
   96       3.463995339025e-10       9.623617302948e-14      -2.756788366618e-12       3.761350086823e-16       1.130523387491e-11       1.523534535740e-12      -7.511553639816e-15 
   97       3.504944703719e-10       9.828949950162e-14      -2.844932321303e-12       3.840873774747e-16       1.100481428990e-11       1.490838857351e-12      -7.436722195071e-15 
   98       3.546185091161e-10       1.003297194133e-13      -2.933389614822e-12       3.921290099807e-16       1.071515425101e-11       1.459215878058e-12      -7.357198707761e-15 
   99       3.587713037658e-10       1.023548864398e-13      -3.022093907066e-12       4.002604872161e-16       1.043589634032e-11       1.428634128556e-12      -7.274394578132e-15 
  100       3.629523295941e-10       1.043630272437e-13      -3.110977664234e-12       4.084824175426e-16       1.016656867193e-11       1.399050257363e-12      -7.189835058519e-15 
  101       3.671608764775e-10       1.063521419050e-13      -3.199972176770e-12       4.167954372372e-16       9.906581089355e-12       1.370408628551e-12      -7.105161999657e-15 
  102       3.713960418572e-10       1.083202043523e-13      -3.289007577295e-12       4.252002110618e-16       9.655221362736e-12       1.342640919475e-12      -7.022136596991e-15 
  103       3.756567237000e-10       1.102651627935e-13      -3.378012858553e-12       4.336974328331e-16       9.411651386173e-12       1.315665718507e-12      -6.942642136992e-15 
  104       3.799418516588e-10       1.121849912666e-13      -3.466916449698e-12       4.422878058699e-16       9.175097196260e-12       1.289407660668e-12      -6.868279947646e-15 
  105       3.842511312767e-10       1.140778512952e-13      -3.555647995225e-12       4.509719801006e-16       8.945456451784e-12       1.263858644891e-12      -6.799089173356e-15 
  106       3.885843876600e-10       1.159419529752e-13      -3.644136850908e-12       4.597506074825e-16       8.722766308362e-12       1.239024174875e-12      -6.734658375116e-15 
  107       3.929413318873e-10       1.177755067852e-13      -3.732311570680e-12       4.686243617094e-16       8.507015272556e-12       1.214904374333e-12      -6.674515179875e-15 
  108       3.973215565895e-10       1.195767245793e-13      -3.820099930711e-12       4.775939385602e-16       8.298141529061e-12       1.191493799428e-12      -6.618124556567e-15 
  109       4.017245315275e-10       1.213438205794e-13      -3.907428953474e-12       4.866600562477e-16       8.096031267907e-12       1.168781251207e-12      -6.564887092135e-15 
  110       4.061495991713e-10       1.230750123679e-13      -3.994224931823e-12       4.958234557666e-16       7.900517011650e-12       1.146749588033e-12      -6.514137267563e-15 
  111       4.105959702788e-10       1.247685218801e-13      -4.080413453063e-12       5.050849012428e-16       7.711375942569e-12       1.125375538020e-12      -6.465141733899e-15 
  112       4.150627194745e-10       1.264225763970e-13      -4.165919423024e-12       5.144451802812e-16       7.528328229859e-12       1.104629511464e-12      -6.417097588285e-15 
  113       4.195487808281e-10       1.280354095376e-13      -4.250667090134e-12       5.239051043147e-16       7.351035356829e-12       1.084475413280e-12      -6.369130649984e-15 
  114       4.240529434331e-10       1.296052622518e-13      -4.334580069490e-12       5.334655089525e-16       7.179098448097e-12       1.064870455431e-12      -6.320293736409e-15 
  115       4.285738469858e-10       1.311303838124e-13      -4.417581366934e-12       5.431272543289e-16       7.012056596780e-12       1.045764969365e-12      -6.269564939147e-15 
  116       4.331101734371e-10       1.326090804397e-13      -4.499594351759e-12       5.528911995156e-16       6.849487924182e-12       1.027113288060e-12      -6.216065282859e-15 
  117       4.376612578347e-10       1.340398657575e-13      -4.580545757544e-12       5.627581214849e-16       6.691330274436e-12       1.008908294153e-12      -6.159745409621e-15 
  118       4.422265437911e-10       1.354213305789e-13      -4.660363093072e-12       5.727287869026e-16       6.537596550493e-12       9.911507395400e-13      -6.100779533706e-15 
  119       4.468053913973e-10       1.367520983092e-13      -4.738973758439e-12       5.828039773005e-16       6.388274714248e-12       9.738384628916e-13      -6.039353742404e-15 
  120       4.513970745346e-10       1.380308263603e-13      -4.816305077520e-12       5.929844891956e-16       6.243327022068e-12       9.569662999569e-13      -5.975666211778e-15 
  121       4.560007781874e-10       1.392562075639e-13      -4.892284330426e-12       6.032711342090e-16       6.102689260320e-12       9.405259938734e-13      -5.909927422415e-15 
  122       4.606155957556e-10       1.404269715854e-13      -4.966838785968e-12       6.136647391858e-16       5.966269980902e-12       9.245061054743e-13      -5.842360375178e-15 
  123       4.652405263665e-10       1.415418863377e-13      -5.039895734112e-12       6.241661463135e-16       5.833949736766e-12       9.088919235968e-13      -5.773200806959e-15 
  124       4.698744721875e-10       1.425997593946e-13      -5.111382518445e-12       6.347762132421e-16       5.705580317451e-12       8.936653753901e-13      -5.702697406430e-15 
  125       4.745162357384e-10       1.435994394048e-13      -5.181226568632e-12       6.454958132024e-16       5.580983984610e-12       8.788049366228e-13      -5.631112029797e-15 
  126       4.791645172037e-10       1.445398175055e-13      -5.249355432878e-12       6.563258351261e-16       5.459952707537e-12       8.642855419917e-13      -5.558719916552e-15 
  127       4.838179117448e-10       1.454198287359e-13      -5.315696810386e-12       6.672671837643e-16       5.342247398699e-12       8.500784954291e-13      -5.485809905223e-15 
  128       4.884749068125e-10       1.462384534511e-13      -5.380178583821e-12       6.783207798071e-16       5.227597149259e-12       8.361513804109e-13      -5.412684649130e-15 
  129       4.931340337657e-10       1.469947591283e-13      -5.442729557664e-12       6.894875327069e-16       5.115757458470e-12       8.224756553940e-13      -5.339617322648e-15 
  130       4.977943472417e-10       1.476880279664e-13      -5.503281695919e-12       7.007682555237e-16       5.006693767851e-12       8.090505727051e-13      -5.266715911982e-15 
  131       5.024549935391e-10       1.483176460210e-13      -5.561768192373e-12       7.121637409200e-16       4.900416709965e-12       7.958817262983e-13      -5.194044375351e-15 
  132       5.071150594570e-10       1.488830657527e-13      -5.618122823844e-12       7.236747875438e-16       4.796924580387e-12       7.829735674749e-13      -5.121664723327e-15 
  133       5.117735707125e-10       1.493838077298e-13      -5.672279987696e-12       7.353021999530e-16       4.696202995367e-12       7.703293701835e-13      -5.049636923241e-15 
  134       5.164294903560e-10       1.498194623310e-13      -5.724174739348e-12       7.470467885390e-16       4.598224549500e-12       7.579511963195e-13      -4.978018803609e-15 
  135       5.210817171885e-10       1.501896914480e-13      -5.773742829784e-12       7.589093694503e-16       4.502948473392e-12       7.458398610258e-13      -4.906865958535e-15 
  136       5.257290841780e-10       1.504942301886e-13      -5.820920743071e-12       7.708907645171e-16       4.410320291326e-12       7.339948979919e-13      -4.836231652133e-15 
  137       5.303703568758e-10       1.507328885793e-13      -5.865645733863e-12       7.829918011747e-16       4.320271478931e-12       7.224145247543e-13      -4.766166722938e-15 
  138       5.350042318329e-10       1.509055532676e-13      -5.907855864918e-12       7.952133123876e-16       4.232719120845e-12       7.110956079967e-13      -4.696719488321e-15 
  139       5.396293350169e-10       1.510121892254e-13      -5.947490044605e-12       8.075561365731e-16       4.147565568388e-12       7.000336288492e-13      -4.627935648903e-15 
  140       5.442442202282e-10       1.510528414512e-13      -5.984488064420e-12       8.200211175258e-16       4.064698097222e-12       6.892226481889e-13      -4.559858192971e-15 
  141       5.488473675166e-10       1.510276366733e-13      -6.018790636495e-12       8.326091043408e-16       3.983988565023e-12       6.786552719397e-13      -4.492527300888e-15 
  142       5.534371815976e-10       1.509367850519e-13      -6.050339431110e-12       8.453209513381e-16       3.905293069146e-12       6.683226163719e-13      -4.425980249513e-15 
  143       5.580119902695e-10       1.507805818826e-13      -6.079077114203e-12       8.581575179865e-16       3.828451604291e-12       6.582142734027e-13      -4.360251316611e-15 
  144       5.625701802967e-10       1.505594209195e-13      -6.104947931267e-12       8.711196184655e-16       3.753321610155e-12       6.483205360953e-13      -4.295362599094e-15 
  145       5.671106235042e-10       1.502738322335e-13      -6.127899444717e-12       8.842078649095e-16       3.679883064606e-12       6.386393956927e-13      -4.231295649334e-15 
  146       5.716322898759e-10       1.499244513407e-13      -6.147881039905e-12       8.974228084930e-16       3.608143148759e-12       6.291701716459e-13      -4.168016847848e-15 
  147       5.761341130730e-10       1.495120096704e-13      -6.164843434415e-12       9.107649880425e-16       3.538103141085e-12       6.199112918378e-13      -4.105486091886e-15 
  148       5.806149896400e-10       1.490373363344e-13      -6.178738718710e-12       9.242349296708e-16       3.469758269842e-12       6.108602708727e-13      -4.043656647624e-15 
  149       5.850737782116e-10       1.485013598969e-13      -6.189520396786e-12       9.378331464115e-16       3.403097565515e-12       6.020136883662e-13      -3.982475002363e-15 
  150       5.895092987191e-10       1.479051101437e-13      -6.197143426824e-12       9.515601378536e-16       3.338103713255e-12       5.933671672341e-13      -3.921880716718e-15 
  151       5.939203315969e-10       1.472497198518e-13      -6.201564261842e-12       9.654163897757e-16       3.274752905312e-12       5.849153519829e-13      -3.861806276819e-15 
  152       5.983056169893e-10       1.465364265590e-13      -6.202740890342e-12       9.794023737806e-16       3.213014693471e-12       5.766518869986e-13      -3.802176946499e-15 
  153       6.026638539568e-10       1.457665743333e-13      -6.200632876968e-12       9.935185469300e-16       3.152851841494e-12       5.685693948369e-13      -3.742910619497e-15 
  154       6.069936996827e-10       1.449416155425e-13      -6.195201403156e-12       1.007765351378e-15       3.094220177555e-12       5.606594545123e-13      -3.683917671646e-15 
  155       6.112937686796e-10       1.440631126237e-13      -6.186409307781e-12       1.022143214008e-15       3.037068446673e-12       5.529125797880e-13      -3.625100813073e-15 
