# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]           11:lens[1]-lens[1]       12:dens[1]-lens[1]    
   73       2.483827293930e-10       4.707454722150e-14      -9.048204167564e-13       0.000000000000e+00       2.246193938831e-11       2.731197422874e-12      -9.218374839820e-15       4.904188086353e-04       7.682828221109e-08       1.205619428921e-12       1.916484020161e-08 
   74       2.515940832359e-10       4.884646784962e-14      -9.667708278651e-13       0.000000000000e+00       2.174324149700e-11       2.655675180233e-12      -9.309456183455e-15       4.977849892269e-04       7.596505792034e-08       1.156532783564e-12       1.890304668854e-08 
   75       2.548351840653e-10       5.064294268941e-14      -1.030165480053e-12       0.000000000000e+00       2.105388250517e-11       2.583141943171e-12      -9.374734450160e-15       5.051160316011e-04       7.511428574462e-08       1.109973472881e-12       1.864707225811e-08 
   76       2.581046992579e-10       5.246257062444e-14      -1.094970293720e-12       0.000000000000e+00       2.039030079465e-11       2.513240003929e-12      -9.408426515718e-15       5.124136701282e-04       7.427440662248e-08       1.065593708406e-12       1.839618668180e-08 
   77       2.614032121608e-10       5.430406936373e-14      -1.161151812216e-12       0.000000000000e+00       1.975196486002e-11       2.445919516268e-12      -9.411604756730e-15       5.196791331017e-04       7.344619486332e-08       1.023319117660e-12       1.815049042708e-08 
   78       2.647316076956e-10       5.616614512549e-14      -1.228675429691e-12       0.000000000000e+00       1.913888358286e-11       2.381184194204e-12      -9.387503787539e-15       5.269135729001e-04       7.263075940379e-08       9.831274205289e-13       1.791021391392e-08 
   79       2.680904820989e-10       5.804744551847e-14      -1.297504757487e-12       0.000000000000e+00       1.855070207104e-11       2.318998903347e-12      -9.339847102891e-15       5.341182171986e-04       7.182881304777e-08       9.449682088068e-13       1.767546196204e-08 
   80       2.714801258726e-10       5.994655898916e-14      -1.367601627762e-12       0.000000000000e+00       1.798668494109e-11       2.259287863755e-12      -9.272863966334e-15       5.412943640532e-04       7.104065139860e-08       9.087617013993e-13       1.744620741221e-08 
   81       2.749005067340e-10       6.186201426895e-14      -1.438926097123e-12       0.000000000000e+00       1.744569960068e-11       2.201932852795e-12      -9.191306298622e-15       5.484433769841e-04       7.026613179132e-08       8.743974995276e-13       1.722228474742e-08 
   82       2.783512525670e-10       6.379227982133e-14      -1.511436450253e-12       0.000000000000e+00       1.692619953105e-11       2.146771408003e-12      -9.100465566115e-15       5.555666800604e-04       6.950465222488e-08       8.417333419316e-13       1.700338371418e-08 
