# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       6.148667599099e-03       1.843122728465e+04      -6.973288474544e-01      -2.559319998141e+01      -3.607123289096e+00      -9.167750849329e-01      -6.681875969316e+01       2.743713667111e+00      -1.199165029388e+02 
       6.271948108978e-03       1.867264184844e+04      -7.350953356932e-01      -2.523625136932e+01      -3.609513548654e+00      -8.418200829282e-01      -6.962004901517e+01       3.167158135587e+00      -1.262629305778e+02 
       6.395358876124e-03       1.890994276220e+04      -7.740428618803e-01      -2.486753603704e+01      -3.608466553922e+00      -7.669399176599e-01      -7.247202795351e+01       3.606631500085e+00      -1.327957386422e+02 
       6.518893372638e-03       1.914315933927e+04      -8.141765856341e-01      -2.448715356469e+01      -3.603819099942e+00      -6.868936368777e-01      -7.537428455780e+01       4.062004779774e+00      -1.395149787136e+02 
       6.642545535578e-03       1.937233901564e+04      -8.555017845081e-01      -2.409520216967e+01      -3.595408422833e+00      -5.940210197314e-01      -7.832640325737e+01       4.535403994483e+00      -1.464207168587e+02 
       6.766309728813e-03       1.959753095429e+04      -8.980236608427e-01      -2.369178129116e+01      -3.583071575364e+00      -4.807708362324e-01      -8.132796740325e+01       5.028959025196e+00      -1.535130043644e+02 
       6.890180708501e-03       1.981876329724e+04      -9.417456215497e-01      -2.327697863300e+01      -3.566646079223e+00      -3.511834289087e-01      -8.437855631773e+01       5.544006506392e+00      -1.607915817773e+02 
       7.014153591796e-03       2.003602739303e+04      -9.866680878320e-01      -2.285086115872e+01      -3.545970378982e+00      -2.288427211807e-01      -8.747774327049e+01       6.080540387876e+00      -1.682556741345e+02 
       7.138223828473e-03       2.024931218625e+04      -1.032791140508e+00      -2.241349465030e+01      -3.520882860325e+00      -1.393139122808e-01      -9.062510027169e+01       6.638423856840e+00      -1.759044463531e+02 
       7.262387175144e-03       2.045860956973e+04      -1.080114866708e+00      -2.196494709957e+01      -3.491221852264e+00      -1.073700340681e-01      -9.382019848918e+01       7.217529180180e+00      -1.837370628204e+02 
       7.386639671820e-03       2.066395175750e+04      -1.128640649639e+00      -2.150531752875e+01      -3.456827757596e+00      -1.381165280742e-01      -9.706260488416e+01       7.817975796128e+00      -1.917529061491e+02 
       7.510977620572e-03       2.086541019837e+04      -1.178371138903e+00      -2.103473515334e+01      -3.417542998821e+00      -2.174895146353e-01      -1.003518823728e+02       8.440124116310e+00      -1.999515722166e+02 
       7.635397566081e-03       2.106305911764e+04      -1.229309007316e+00      -2.055333126813e+01      -3.373209954756e+00      -3.305723721683e-01      -1.036875932309e+02       9.084344650771e+00      -2.083326594500e+02 
       7.759896277901e-03       2.125697236424e+04      -1.281456781899e+00      -2.006123350107e+01      -3.323670956133e+00      -4.626188593883e-01      -1.070692991995e+02       9.751005162521e+00      -2.168957404382e+02 
       7.884470734249e-03       2.144718409186e+04      -1.334813747872e+00      -1.955844898703e+01      -3.268770468554e+00      -6.051418373005e-01      -1.104965590241e+02       1.044039353288e+01      -2.256398425731e+02 
       8.009118107195e-03       2.163368478334e+04      -1.389375643269e+00      -1.904485270167e+01      -3.208355309231e+00      -7.565219035773e-01      -1.139689282528e+02       1.115271010545e+01      -2.345633968634e+02 
       8.133835749101e-03       2.181646327724e+04      -1.445137986099e+00      -1.852031267566e+01      -3.142272304337e+00      -9.154829710630e-01      -1.174859619759e+02       1.188815046775e+01      -2.436647961679e+02 
       8.258621180198e-03       2.199550900661e+04      -1.502096256905e+00      -1.798469716169e+01      -3.070368166078e+00      -1.080745169930e+00      -1.210472150092e+02       1.264690991123e+01      -2.529424258725e+02 
       8.383472077199e-03       2.217082853336e+04      -1.560246537393e+00      -1.743808885846e+01      -2.992491307010e+00      -1.251463296020e+00      -1.246522410034e+02       1.342918089556e+01      -2.623947773098e+02 
       8.508386262837e-03       2.234247173353e+04      -1.619586518525e+00      -1.688112381922e+01      -2.908494711110e+00      -1.427920266316e+00      -1.283005910133e+02       1.423514900793e+01      -2.720206267925e+02 
       8.633361696262e-03       2.251049589622e+04      -1.680114128894e+00      -1.631452791848e+01      -2.818232000782e+00      -1.610579230065e+00      -1.319918155327e+02       1.506499858701e+01      -2.818187920047e+02 
       8.758396464208e-03       2.267495890906e+04      -1.741827277465e+00      -1.573902919638e+01      -2.721556690946e+00      -1.799904483967e+00      -1.357254649023e+02       1.591891381607e+01      -2.917880863037e+02 
       8.883488772857e-03       2.283591821646e+04      -1.804723747309e+00      -1.515527970638e+01      -2.618322403315e+00      -1.996349883618e+00      -1.395010892984e+02       1.679707736270e+01      -3.019273017534e+02 
       9.008636940352e-03       2.299341268180e+04      -1.868799241375e+00      -1.456244707609e+01      -2.508386807877e+00      -2.200150551767e+00      -1.433182380671e+02       1.769964520576e+01      -3.122348966404e+02 
       9.133839389889e-03       2.314746447478e+04      -1.934047591825e+00      -1.395836379409e+01      -2.391611199932e+00      -2.411344927187e+00      -1.471764598210e+02       1.862674934161e+01      -3.227090289688e+02 
       9.259094643344e-03       2.329809552556e+04      -2.000462543086e+00      -1.334080957148e+01      -2.267856903488e+00      -2.629964361650e+00      -1.510753030864e+02       1.957852076897e+01      -3.333478416113e+02 
       9.384401315392e-03       2.344532810623e+04      -2.068037819289e+00      -1.270755866137e+01      -2.136985134179e+00      -2.856040096623e+00      -1.550143163462e+02       2.055509036659e+01      -3.441494731071e+02 
       9.509758108064e-03       2.358918545852e+04      -2.136767120173e+00      -1.205678133272e+01      -1.998857411163e+00      -3.089607093104e+00      -1.589930481017e+02       2.155658716485e+01      -3.551120588497e+02 
       9.635163805723e-03       2.372970001916e+04      -2.206644046714e+00      -1.139213681669e+01      -1.853340847833e+00      -3.330752475839e+00      -1.630110474492e+02       2.258311602073e+01      -3.662337424774e+02 
       9.760617270406e-03       2.386691097530e+04      -2.277662125173e+00      -1.072127528325e+01      -1.700306588767e+00      -3.579601298101e+00      -1.670678639304e+02       2.363476422453e+01      -3.775126728766e+02 
       9.886117437517e-03       2.400085795748e+04      -2.349814866725e+00      -1.005195332412e+01      -1.539625764312e+00      -3.836279610870e+00      -1.711630471192e+02       2.471161858139e+01      -3.889469959624e+02 
       1.001166331183e-02       2.413158087825e+04      -2.423095770242e+00      -9.391944434663e+00      -1.371169392173e+00      -4.100913621251e+00      -1.752961466250e+02       2.581376583207e+01      -4.005348547141e+02 
       1.013725396381e-02       2.425911979657e+04      -2.497498301817e+00      -8.748750824382e+00      -1.194808470360e+00      -4.373629388746e+00      -1.794667121381e+02       2.694129228901e+01      -4.122743862669e+02 
