# Monopole moment of PT power spectra P_vv, P_vd, P_dd, P_CTR, Id2d2, Ib1b2, Ib2, Ib1bG2, IbG2(k), Id2G2, IG2G2, IFG2b1, IFG2, Ptree_vv, Ptree_vd, Ptree_dd at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Id2d2 (Mpc/h)^3        7:Ib1b2 (Mpc/h)^3        8:Ib2 (Mpc/h)^3          9:Ib1bG2 (Mpc/h)^3      10:IbG2 (Mpc/h)^3        11:Id2G2 (Mpc/h)^3       12:IG2G2 (Mpc/h)^3       13:IFG2b1 (Mpc/h)^3      14:IFG2 (Mpc/h)^3        15:PTree_vv (Mpc/h)^3    16:PTree_vd (Mpc/h)^3    17:PTree_dd (Mpc/h)^3 
       1.398239619509e-03      -5.124980603121e-02      -1.274849022446e-01      -7.656211785818e-02      -5.414371817332e-03      -3.695339246166e-01       2.849525213824e-02      -1.214689818170e-01      -3.205188877510e-03       1.030342425872e-03      -8.868459567519e-01       6.875832835679e-03      -4.575450512787e-01      -1.210348168248e-01       3.487861849502e+02       1.465201161083e+03       2.769603449364e+03 
       1.485304683764e-03      -6.105432522062e-02      -1.518958775783e-01      -9.115903093250e-02      -6.454097310862e-03      -3.882309886804e-01       3.235579937373e-02      -1.369531789395e-01      -4.009949252656e-03       1.289336891871e-03      -1.000375880335e+00       8.603276509197e-03      -5.451339180179e-01      -1.442047433257e-01       3.684501906831e+02       1.547806951960e+03       2.925749875479e+03 
       1.575563203249e-03      -7.241305258654e-02      -1.801818197870e-01      -1.080575476810e-01      -7.659711684192e-03      -4.088021071880e-01       3.664149626675e-02      -1.539683581950e-01      -4.988032226743e-03       1.606999917884e-03      -1.125222148509e+00       1.071251243371e-02      -6.466220284288e-01      -1.710514376768e-01       3.886110274773e+02       1.632499875069e+03       3.085841581976e+03 
       1.668820731233e-03      -8.548680106862e-02      -2.127448910189e-01      -1.274929913385e-01      -9.048655806880e-03      -4.313262855775e-01       4.138260589994e-02      -1.725733179425e-01      -6.172337850732e-03       1.992028603437e-03      -1.261848884206e+00       1.326785599322e-02      -7.634499813026e-01      -2.019559765271e-01       4.092032167087e+02       1.719004865523e+03       3.249358632734e+03 
       1.764875244855e-03      -1.004379804753e-01      -2.499914457006e-01      -1.497024237627e-01      -1.063860950856e-02      -4.558736910026e-01       4.661077018524e-02      -1.928183216902e-01      -7.600479927242e-03       2.453457069909e-03      -1.410664702518e+00       1.633949540533e-02      -8.970727950707e-01      -2.373032587630e-01       4.301611490554e+02       1.807046308414e+03       3.415780047990e+03 
       1.863522970598e-03      -1.174290979642e-01      -2.923283699794e-01      -1.749223944472e-01      -1.244733950040e-02      -4.825058584169e-01       5.235777108082e-02      -2.147456189990e-01      -9.313742495234e-03       3.000807892657e-03      -1.572023968836e+00       2.000327652820e-02      -1.048946586901e+00      -2.774784536857e-01       4.514206054288e+02       1.896354429260e+03       3.584595888201e+03 
       1.964563180755e-03      -1.366214868094e-01      -3.401598902620e-01      -2.033870550204e-01      -1.449256546813e-02      -5.112762006613e-01       5.865627067289e-02      -2.383895991922e-01      -1.135760016444e-02       3.643875769416e-03      -1.746229647022e+00       2.434036640803e-02      -1.220517080935e+00      -3.228639843236e-01       4.729199491961e+02       1.986670301784e+03       3.755316718974e+03 
       2.067801897985e-03      -1.581742458073e-01      -3.938848468680e-01      -2.353265270807e-01      -1.679184517556e-02      -5.422305834503e-01       6.554161412876e-02      -2.637768756108e-01      -1.378304456961e-02       4.392259560895e-03      -1.933537063014e+00       2.943695952346e-02      -1.413209557411e+00      -3.738368984342e-01       4.946009660849e+02       2.077749376493e+03       3.927480281196e+03 
       2.173054556912e-03      -1.822432572450e-01      -4.538943696033e-01      -2.709655694803e-01      -1.936247996571e-02      -5.754080318654e-01       7.305272747297e-02      -2.909265708292e-01      -1.664716846587e-02       5.254982571895e-03      -2.134158274721e+00       3.538384170666e-02      -1.628420804556e+00      -4.307666641988e-01       5.164094351854e+02       2.169363879376e+03       4.100656025195e+03 
       2.280147742849e-03      -2.089805390441e-01      -5.205701311673e-01      -3.105225222850e-01      -2.222143775597e-02      -6.108415125651e-01       8.122117690140e-02      -3.198543740121e-01      -2.000401490210e-02       6.243282659626e-03      -2.348266551799e+00       4.227603661195e-02      -1.867512428817e+00      -4.940134680349e-01       5.382954270874e+02       2.261304064163e+03       4.274447477752e+03 
       2.388920162772e-03      -2.385336686355e-01      -5.942829256262e-01      -3.542085063475e-01      -2.538529446471e-02      -6.485586380005e-01       9.006492192172e-02      -3.505751727584e-01      -2.389933061041e-02       7.372080442102e-03      -2.576000895839e+00       5.021238728492e-02      -2.131805884358e+00      -5.639268408899e-01       5.602134505822e+02       2.353378828881e+03       4.448493407784e+03 
       2.499223011227e-03      -2.710453246781e-01      -6.753915565832e-01      -4.022268118859e-01      -2.887018730743e-02      -6.885823632314e-01       9.959612378548e-02      -3.831012040357e-01      -2.837692843226e-02       8.657879173762e-03      -2.817470198488e+00       5.929519124521e-02      -2.422578497682e+00      -6.408446773486e-01       5.821223632616e+02       2.445415340066e+03       4.622467115699e+03 
       2.610919883542e-03      -3.066530724349e-01      -7.642421898908e-01      -4.547725324282e-01      -3.269178519863e-02      -7.309315825457e-01       1.098537978963e-01      -4.174325657625e-01      -3.350517313762e-02       1.011051795725e-02      -3.072757117204e+00       6.962974220508e-02      -2.741061035609e+00      -7.250925439411e-01       6.039853116881e+02       2.537258781456e+03       4.796075958680e+03 
       2.723886368643e-03      -3.454891024673e-01      -8.611677553235e-01      -5.120322368984e-01      -3.686526277954e-02      -7.756217465738e-01       1.209065247865e-01      -4.535568570146e-01      -3.937881568911e-02       1.173246126489e-02      -3.341921539405e+00       8.132404940766e-02      -3.088435511786e+00      -8.169830893549e-01       6.257694338947e+02       2.628771104413e+03       4.969058988372e+03 
       2.838009429999e-03      -3.876801537804e-01      -9.664877274000e-01      -5.741838944706e-01      -4.140529068336e-02      -8.226653211394e-01       1.327884222262e-01      -4.914694534196e-01      -4.606648102389e-02       1.353493670662e-02      -3.625003591186e+00       9.448840154793e-02      -3.465834534279e+00      -9.168159083729e-01       6.474456707284e+02       2.719830235286e+03       5.141185453750e+03 
