# Matter power spectrum P(k) at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.814522690806e-01       1.206735564016e+03 
       1.846792633293e-01       1.183892453188e+03 
       1.879062609943e-01       1.161312898950e+03 
       1.911332618956e-01       1.137629709657e+03 
       1.943602658671e-01       1.112088293248e+03 
       1.975872727552e-01       1.084207121530e+03 
       2.008142824168e-01       1.054017003935e+03 
       2.040412947185e-01       1.021954486813e+03 
       2.072683095357e-01       9.886133500848e+02 
       2.104953267514e-01       9.548163787427e+02 
       2.137223462560e-01       9.214740327089e+02 
       2.169493679465e-01       8.893133937520e+02 
       2.201763917260e-01       8.589540559600e+02 
       2.234034175034e-01       8.308581326949e+02 
       2.266304451926e-01       8.053256109758e+02 
       2.298574747126e-01       7.824589787155e+02 
       2.330845059868e-01       7.621859564245e+02 
       2.363115389428e-01       7.443036904291e+02 
       2.395385735122e-01       7.284852650209e+02 
       2.427656096303e-01       7.142633672160e+02 
       2.459926472356e-01       7.011307812605e+02 
       2.492196862701e-01       6.885942937244e+02 
       2.524467266786e-01       6.762190284705e+02 
       2.556737684087e-01       6.636091141005e+02 
       2.589008114107e-01       6.505400485917e+02 
       2.621278556374e-01       6.369312714527e+02 
       2.653549010438e-01       6.227130747126e+02 
       2.685819475871e-01       6.079744369256e+02 
       2.718089952266e-01       5.928960553590e+02 
       2.750360439235e-01       5.776262349245e+02 
       2.782630936407e-01       5.624831428593e+02 
       2.814901443431e-01       5.476973741964e+02 
       2.847171959968e-01       5.335019618132e+02 
       2.879442485698e-01       5.200947021580e+02 
       2.911713020313e-01       5.075905366505e+02 
       2.943983563519e-01       4.960338340334e+02 
       2.976254115036e-01       4.854105519300e+02 
       3.008524674594e-01       4.756317017081e+02 
       3.040795241936e-01       4.665916508818e+02 
       3.073065816815e-01       4.581398208866e+02 
       3.105336398997e-01       4.501512723217e+02 
       3.137606988253e-01       4.424715514070e+02 
       3.169877584367e-01       4.349628088155e+02 
       3.202148187130e-01       4.275062847492e+02 
       3.234418796343e-01       4.200053349212e+02 
       3.266689411813e-01       4.123901169020e+02 
       3.298960033356e-01       4.046482178761e+02 
       3.331230660794e-01       3.968005009330e+02 
       3.363501293957e-01       3.888951727766e+02 
       3.395771932682e-01       3.809983843862e+02 
       3.428042576809e-01       3.731942125156e+02 
       3.460313226188e-01       3.655282007910e+02 
       3.492583880672e-01       3.580852061949e+02 
       3.524854540120e-01       3.508941398167e+02 
       3.557125204397e-01       3.440231349049e+02 
       3.589395873371e-01       3.374835709087e+02 
       3.621666546917e-01       3.312983127898e+02 
       3.653937224913e-01       3.254396051028e+02 
       3.686207907242e-01       3.198810100863e+02 
       3.718478593789e-01       3.145896564220e+02 
       3.750749284447e-01       3.095160331746e+02 
       3.783019979109e-01       3.045914043414e+02 
       3.815290677673e-01       2.997773846018e+02 
       3.847561380041e-01       2.950348071195e+02 
       3.879832086117e-01       2.903366294279e+02 
